;;?RT;;;;;;?Cost;
;;-0.1;0.25;;;;;-0.05;0.05
?Cost;SS01;0.00139588;0.035082434;;;?RT;SS01;0.003314071;0.140781995
;SS02;-0.005710457;0.004318592;;;;SS02;0.004228606;0.153586555
;SS03;-0.001016154;0.024640566;;;;SS03;0.005321582;0.168889481
;SS04;-0.000871507;0.025266754;;;;SS04;0.006445912;0.184631394
;SS05;-0.005343544;0.005906985;;;;SS05;0.003874661;0.148630914
;SS06;-0.005187269;0.006583512;;;;SS06;0.005534048;0.17186425
;SS07;-0.002997647;0.016062542;;;;SS07;0.002606647;0.130877246
;SS08;-0.003891305;0.012193831;;;;SS08;0.004516909;0.157623126
;SS09;-0.003149863;0.015403588;;;;SS09;0.004502182;0.15741693
;SS10;-0.004611072;0.009077911;;;;SS10;0.00465621;0.159573507
;SS11;-0.002633201;0.017640254;;;;SS11;0.005460531;0.170834919
;SS12;-0.009622347;-0.012616259;;;;SS12;0.004888454;0.162825179
;SS13;-0.004721304;0.008600708;;;;SS13;0.003424871;0.142333324
;SS14;-0.004983102;0.007467365;;;;SS14;0.004936298;0.163495062
;SS15;-0.001026671;0.024595039;;;;SS15;0.006274499;0.182231422
;SS16;0.000833803;0.032649163;;;;SS16;0.003269195;0.140153688
;SS17;-0.00581109;0.003882944;;;;SS17;0.007505632;0.199468703
;SS18;-0.000311905;0.027689309;;;;SS18;0.002485124;0.129175779
;SS19;-0.004778001;0.008355259;;;;SS19;0.007643222;0.20139513
;SS20;-0.002384876;0.018715271;;;;SS20;0.003213978;0.13938058
;SS21;-0.001815309;0.021180968;;;;SS21;0.003937645;0.149512756
;SS22;-0.004797919;0.008269036;;;;SS22;0.006355607;0.183367029
;SS23;-0.002296079;0.019099678;;;;SS23;0.002179434;0.124895771
;SS24;-0.003573173;0.013571046;;;;SS24;0.003881584;0.148727843
;SS25;-0.00173172;0.021542831;;;;SS25;0.003922566;0.149301637
;SS26;-0.000676692;0.02611012;;;;SS26;0.003579295;0.14449545
;SS27;0.001686328;0.036339806;;;;SS27;0.001676988;0.11786094
;SS28;-0.002687857;0.017403644;;;;SS28;0.002605032;0.130854634
;SS29;-0.004511578;0.009508627;;;;SS29;0.004364944;0.155495437
;SS30;-0.001748643;0.021469567;;;;SS30;0.003512468;0.143559783
;SS31;-0.006101114;0.002627409;;;;SS31;0.006415839;0.184210346
;SS32;-0.002409518;0.018608594;;;;SS32;0.005091509;0.165668192
;SS33;-0.00422994;0.010727855;;;;SS33;0.004649754;0.159483104
;SS34;0.001736836;0.036558457;;;;SS34;0.001817009;0.119821399
;SS35;-0.005440404;0.005487671;;;;SS35;0.006115001;0.179998257
;SS36;-0.005325077;0.005986931;;;;SS36;0.005530764;0.171818274
;SS37;0.001858769;0.037086314;;;;SS37;0.004508633;0.157507251
;SS38;-0.005255993;0.006286001;;;;SS38;0.006143731;0.180400517
;SS39;-0.000509124;0.026835534;;;;SS39;0.006181392;0.180927812
;SS40;-0.004454844;0.00975423;;;;SS40;0.00882255;0.217907081
;SS41;-0.002180053;0.019601964;;;;SS41;0.003920002;0.149265732
;SS42;-0.004791217;0.008298047;;;;SS42;0.004018756;0.150648409
;SS43;-0.002739061;0.017181977;;;;SS43;0.006934176;0.19146766
;SS44;-0.003262049;0.014917928;;;;SS44;0.005759774;0.175024667
